Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Attendance,Audience
Recreation,Strictly Tango,04/10/2019 07:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Strictly Tango,Agency Produced Event,Arts/Culture,Dance,60,Young Adult;#Adults;#Seniors
Recreation,,04/11/2019 11:00:00 AM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Egg-cellent: An Easter Adventure,Agency Produced Event,Family Festival,,93,Tot;#Children;#General Public
Urban Park Rangers,NYC Envirothon,04/12/2019 09:00:00 AM,Bronx,Park,Bronx Park,NYC Envirothon,Tournament/Competition,Academic/Out of School time,,135,Teens
Recreation,,04/12/2019 05:30:00 PM,Manhattan,Recreation Center,J. Hood Wright Recreation Center,Spring Dance-a-Thon,Agency Produced Event,Fitness,Dance,34,Young Adult;#Adults;#Seniors;#General Public;#Teens;#Children
Recreation,UNE/DOE,04/12/2019 06:00:00 PM,Manhattan,Recreation Center,Hamilton Fish Recreation Center,Girls Empowerment Night,Agency Produced Event,Arts/Culture,Lecture/Panel/Talk,26,Teens;#Young Adult;#Adults;#General Public
Recreation,,04/12/2019 06:30:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,City Center Tap Dance,Agency Produced Event,Arts/Culture,AC&F,95,General Public
Urban Park Rangers,Envirothon,04/13/2019 09:00:00 AM,Bronx,Park,Bronx Park,Envirothon,Tournament/Competition,Academic/Out of School time,Lecture/Panel/Talk,135,Teens
Urban Park Rangers,Muslim Volunteers for New York,04/13/2019 10:00:00 AM,Manhattan,Park,Ruppert Park,Muslim Volunteers for New York,Community Based Event,Arts/Culture,,50,Tot;#Children;#Adults;#General Public
Recreation,,04/13/2019 10:00:00 AM,Queens,Recreation Center,Sorrentino Recreation Center,Double Dutch Workshop,Open House,Fitness,Fitness,75,General Public
Recreation,,04/13/2019 11:00:00 AM,Manhattan,Recreation Center,Highbridge Recreation Center,Easter Event,Agency Produced Event,Family Festival,,1132,Tot;#Children;#General Public
